upc,product,size,product_label
3800000510,KELLOGGS RICE KRISPI,10 OZ,KELLOGGS RICE KRISPI | 10 OZ | 3800000510
3800010500,KELLOGGS WHT-RSN NUT,17.4 Z,KELLOGGS WHT-RSN NUT | 17.4 Z | 3800010500
3800010600,NUTRI GRAIN ALMOND R,17.2 O,NUTRI GRAIN ALMOND R | 17.2 O | 3800010600
3800012200,COMMONSENSE W/RAISIN,20.5 O,COMMONSENSE W/RAISIN | 20.5 O | 3800012200
1600064380,GENERAL MILLS SUN CR,14 OZ,GENERAL MILLS SUN CR | 14 OZ | 1600064380
1600064820,BASIC 4,14.5 O,BASIC 4 | 14.5 O | 1600064820
4240091020,MALT O MEAL SUG FROS,40 OZ,MALT O MEAL SUG FROS | 40 OZ | 4240091020
4300000000,COCOA PEBBLES ON BOX,17 OZ,COCOA PEBBLES ON BOX | 17 OZ | 4300000000
3800014600,KELL HC MULTI-GRAIN,11.5 O,KELL HC MULTI-GRAIN | 11.5 O | 3800014600
3828125001,DOM OAT HONEY,16 OZ,DOM OAT HONEY | 16 OZ | 3828125001
1600066110,WHEATIES,12 OZ,WHEATIES | 12 OZ | 1600066110
4300011653,~POST BAN NUT CRUNCH,20.5 O,~POST BAN NUT CRUNCH | 20.5 O | 4300011653
1600066370,KIX,13 OZ,KIX | 13 OZ | 1600066370
1600086980,GM RAISIN NUT BRAN,21 OZ,GM RAISIN NUT BRAN | 21 OZ | 1600086980
5200034940,POPEYE SWEET CRUNCH,13 OZ,POPEYE SWEET CRUNCH | 13 OZ | 5200034940
79166913217,$ALMOND DELIGHT CERE,15 OZ,$ALMOND DELIGHT CERE | 15 OZ | 79166913217
1600067440,TRIX,12 OZ,TRIX | 12 OZ | 1600067440
3000006750,QUAKER 100% NATURAL,29 OZ,QUAKER 100% NATURAL | 29 OZ | 3000006750
3000007800,QUAKER OH'S APL/CIN,12.7 O,QUAKER OH'S APL/CIN | 12.7 O | 3000007800
1780016049,RALSTON OAT BRAN,14 OZ,RALSTON OAT BRAN | 14 OZ | 1780016049
3800001720,KELLOGGS FRUIT LOOPS,15 OZ,KELLOGGS FRUIT LOOPS | 15 OZ | 3800001720
3800004220,KLG JST RT FIBER NGT,15.7 O,KLG JST RT FIBER NGT | 15.7 O | 3800004220
3800004511,~KELLOGGS CRACKLIN O,20 OZ,~KELLOGGS CRACKLIN O | 20 OZ | 3800004511
3800004900,BITE SIZE FRSTD MINI,19 OZ,BITE SIZE FRSTD MINI | 19 OZ | 3800004900
1313002033,NABISCO 100% BRAN W/,17 OZ,NABISCO 100% BRAN W/ | 17 OZ | 1313002033
1313002403,TEDDY GRAHAMS BRKFST,15 OZ,TEDDY GRAHAMS BRKFST | 15 OZ | 1313002403
1600063830,WHEATIES HONEY GOLD,14.75O,WHEATIES HONEY GOLD | 14.75O | 1600063830
1600063840,WHEATIES HONEY GOLD,21.25O,WHEATIES HONEY GOLD | 21.25O | 1600063840
1600065190,CHEERIOS BND PK,30 OZ,CHEERIOS BND PK | 30 OZ | 1600065190
3800000101,~KELLOGGS CORN FLAKE,7 OZ,~KELLOGGS CORN FLAKE | 7 OZ | 3800000101
3800000120,KELLOGGS CORN FLAKES,18 OZ,KELLOGGS CORN FLAKES | 18 OZ | 3800000120
3828125109,DOM APPLE DAPPLES,15 OZ,DOM APPLE DAPPLES | 15 OZ | 3828125109
4300010305,POST CRANBERRY ALMON,13 OZ,POST CRANBERRY ALMON | 13 OZ | 4300010305
1600065720,CINNAMON TOAST CRUNC,20.3 O,CINNAMON TOAST CRUNC | 20.3 O | 1600065720
3800003802,KELLOGGS FRUITFUL BR,15 OZ,KELLOGGS FRUITFUL BR | 15 OZ | 3800003802
3800014700,"KELL HC RAISN, OAT C",12.3 O,"KELL HC RAISN, OAT C | 12.3 O | 3800014700"
3800016310,KEL POP TART FRST ST,12.5OZ,KEL POP TART FRST ST | 12.5OZ | 3800016310
3800070533,KELLOGG'S VALENTINE,19 OZ,KELLOGG'S VALENTINE | 19 OZ | 3800070533
1780019538,BREAKFAST ON THE RUN,1.25 O,BREAKFAST ON THE RUN | 1.25 O | 1780019538
3000002390,QUAKER MULTIGRAIN,18 OZ,QUAKER MULTIGRAIN | 18 OZ | 3000002390
4300012971,POST FRUITY PEBBLES,13 OZ,POST FRUITY PEBBLES | 13 OZ | 4300012971
1600066950,HONEY NUT CHEERIOS,27 OZ,HONEY NUT CHEERIOS | 27 OZ | 1600066950
3800001527,KELLOGG'S FROSTED FL,25 OZ,KELLOGG'S FROSTED FL | 25 OZ | 3800001527
4300010934,POST GRAPENUT FLAKES,14 OZ,POST GRAPENUT FLAKES | 14 OZ | 4300010934
79166910113,~SPIDERMAN CEREAL,12.5OZ,~SPIDERMAN CEREAL | 12.5OZ | 79166910113
79166910359,~MUESLI W/ CRANBERRI,13.5OZ,~MUESLI W/ CRANBERRI | 13.5OZ | 79166910359
1600067350,BIG G TRIAL SIZE PAL,ASSTD,BIG G TRIAL SIZE PAL | ASSTD | 1600067350
3800001210,KELLOGGS HONEY SMACK,17.6 O,KELLOGGS HONEY SMACK | 17.6 O | 3800001210
3828125031,HH FROSTED FLAKES,20 OZ,HH FROSTED FLAKES | 20 OZ | 3828125031
3828125035,HH RAISIN BRAN,25.5 O,HH RAISIN BRAN | 25.5 O | 3828125035
3800013110,KELLOOG KENMEI ALM-R,22 OZ,KELLOOG KENMEI ALM-R | 22 OZ | 3800013110
3000002580,QUAKER TOASTED OATME,16 OZ,QUAKER TOASTED OATME | 16 OZ | 3000002580
3800004270,KLG JST RT FIBER NGT,15.7 O,KLG JST RT FIBER NGT | 15.7 O | 3800004270
3800000611,KELLOGGS BRAN FLAKES,16 OZ,KELLOGGS BRAN FLAKES | 16 OZ | 3800000611
3800012221,COMMONSENSE W/RAISIN,18.8 O,COMMONSENSE W/RAISIN | 18.8 O | 3800012221
1600064360,BIG G BREAKFAST PACK,7.5 OZ,BIG G BREAKFAST PACK | 7.5 OZ | 1600064360
3800000110,KELLOGGS CORN FLAKES,12 OZ,KELLOGGS CORN FLAKES | 12 OZ | 3800000110
4240090620,MALT O MEAL CORN FLA,40 OZ,MALT O MEAL CORN FLA | 40 OZ | 4240090620
4300010210,POST BLUEBERRY MORNI,15 OZ,POST BLUEBERRY MORNI | 15 OZ | 4300010210
3828125051,HH CORN FLAKES,18 OZ,HH CORN FLAKES | 18 OZ | 3828125051
1600069750,~TEAM USA CHERRIOS (,13 OZ,~TEAM USA CHERRIOS ( | 13 OZ | 1600069750
3000006610,CAPN CRUNCH CEREAL,16 OZ,CAPN CRUNCH CEREAL | 16 OZ | 3000006610
3800003500,KELLOGG'S CRISPIX,end,KELLOGG'S CRISPIX | end | 3800003500
1600066210,WHEATIES,18 OZ,WHEATIES | 18 OZ | 1600066210
1600066510,CHEERIOS,10 OZ,CHEERIOS | 10 OZ | 1600066510
1780013097,HONEY ALMOND DELIGHT,1.2 OZ,HONEY ALMOND DELIGHT | 1.2 OZ | 1780013097
3800001532,KELLOGG FROSTED FLAK,31 OZ,KELLOGG FROSTED FLAK | 31 OZ | 3800001532
4300011140,POST HONEYCOMB 10 OZ,10 OZ,POST HONEYCOMB 10 OZ | 10 OZ | 4300011140
4300011171,POST HONEY COMB,14.5 O,POST HONEY COMB | 14.5 O | 4300011171
1600067970,GOLDEN GRAHAMS,18 OZ,GOLDEN GRAHAMS | 18 OZ | 1600067970
1780014216,BILL & TED'S CEREAL,12.5OZ,BILL & TED'S CEREAL | 12.5OZ | 1780014216
1780014478,OAT BRAN OPTIONS SHI,1.45 O,OAT BRAN OPTIONS SHI | 1.45 O | 1780014478
1780017307,BREAKFAST ON THE RUN,1.25 O,BREAKFAST ON THE RUN | 1.25 O | 1780017307
1780018429,FROSTED RICE CHEX JU,12.5OZ,FROSTED RICE CHEX JU | 12.5OZ | 1780018429
3800001611,KELLOGGS SPECIAL K,12 OZ,KELLOGGS SPECIAL K | 12 OZ | 3800001611
3800001710,KELLOGG FROOT LOOPS,11 OZ,KELLOGG FROOT LOOPS | 11 OZ | 3800001710
3800013540,KELLOGG DOUBLE DIP S,1 OZ,KELLOGG DOUBLE DIP S | 1 OZ | 3800013540
1600068260,COCOA PUFFS,13.8 O,COCOA PUFFS | 13.8 O | 1600068260
1600068330,TOTAL RAISIN BRAN,20 OZ,TOTAL RAISIN BRAN | 20 OZ | 1600068330
3000002550,QUAKER TOASTED OATME,16 OZ,QUAKER TOASTED OATME | 16 OZ | 3000002550
